ID,DIM
09097CA,299.5
099008CP,66.0
099057CP,234.0
099235CP,233.166666667
099687CP,193.75
100000HO,221.0
100001CP,207.0
100001HO,283.4
100002HO,183.0
100003HO,265.6
100004HO,79.0
100005HO,158.0
100006HO,295.5
100007HO,96.0
100008HO,235.666666667
100009HO,283.8
100010HO,234.0
100011HO,259.666666667
100012HO,359.0
100013CP,245.666666667
100013HO,185.0
100014HO,303.0
100015HO,270.333333333
100016HO,202.5
100017HO,293.5
100018HO,225.0
100019HO,340.0
100021HO,285.0
100022HO,222.0
100023HO,93.0
100024HO,300.166666667
100025HO,209.5
100026HO,239.5
100027HO,233.0
100028HO,262.5
100029HO,273.0
100030HO,219.666666667
100031HO,238.285714286
100032HO,180.5
100033HO,180.2
100034HO,252.2
100035HO,274.5
100036HO,284.75
100037HO,306.0
100038HO,376.0
100040HO,260.0
100042HO,176.0
100043HO,248.0
100044HO,288.0
100046JE,267.0
100047HO,237.666666667
100048CP,230.0
100048HO,363.666666667
100051CP,264.4
100051HO,157.0
100052HO,187.5
100053JE,194.5
100054HO,164.0
100055CP,174.5
100055HO,243.0
100056HO,114.0
100060HO,333.8
100062HO,233.0
100063HO,261.8
100064HO,181.0
100065HO,180.0
100066HO,252.166666667
100067HO,319.75
100068HO,123.5
100069HO,180.0
100070HO,165.0
100071HO,304.5
100072HO,176.666666667
100073HO,267.5
100074HO,252.0
100075HO,383.0
100076HO,179.666666667
100077HO,281.0
100078HO,262.333333333
100080HO,247.666666667
100081HO,267.0
100082HO,275.5
100083HO,243.0
100085HO,224.5
100086HO,257.666666667
100087HO,185.0
100088HO,252.0
100089HO,262.0
100090HO,37.0
100091HO,232.166666667
100092HO,293.0
100093HO,198.5
100094HO,311.2
100096HO,189.833333333
100097HO,387.0
100098HO,239.333333333
100099HO,284.0
100100HO,209.666666667
100101HO,347.0
100102HO,289.5
100103HO,266.5
100104HO,176.666666667
100104ME,253.5
100105HO,197.0
100106HO,194.857142857
100107HO,330.5
100108HO,316.0
100109HO,167.75
100110HO,222.0
100111HO,121.0
100113HO,203.5
100114JE,151.5
100116JE,230.4
100117HO,249.0
100119CP,142.6
100119JE,227.0
100120HO,193.5
100121HO,223.0
100122HO,355.0
100123HO,53.0
100125HO,297.0
100126HO,185.0
100127JE,243.0
100129HO,275.2
100130HO,286.0
100131HO,405.0
100132HO,345.75
100134HO,225.5
100135CP,303.0
100135HO,204.5
100136HO,321.5
100137HO,186.5
100138HO,437.0
100139HO,380.0
100140HO,308.0
100142HO,149.5
100143HO,476.0
100143ME,455.0
100147HO,235.0
100148HO,321.5
100150HO,307.0
100151HO,34.0
100152HO,83.0
100154HO,363.666666667
100156HO,207.0
100157HO,218.8
100158HO,405.0
100160HO,286.0
100164HO,193.0
100167HO,293.666666667
100170HO,54.5
100175HO,49.0
100178HO,231.166666667
100179HO,224.0
100184HO,200.0
100185HO,164.0
100191HO,217.0
100193HO,162.0
100195HO,295.25
100196HO,206.8
100197HO,327.5
100199HO,242.5
100200HO,318.6
100201HO,241.0
100202HO,270.8
100203HO,151.5
100204HO,45.0
100206HO,311.0
100207HO,145.0
100207ME,9.0
100208HO,293.8
100209HO,259.833333333
100213HO,39.0
100215CP,381.0
100215HO,168.0
100218HO,210.0
100225HO,287.75
100226HO,493.0
100232HO,240.2
100234HO,278.0
100235HO,212.5
100237HO,355.0
100238HO,431.0
100242CP,190.0
100245CP,224.0
100246CP,281.666666667
100247CP,162.666666667
100249CP,335.0
100254HO,42.0
100255HO,244.25
100256HO,251.833333333
100258HO,366.25
100264CP,186.8
100268HO,176.0
100278CP,239.25
100280HO,32.0
100291HO,211.0
100297HO,165.833333333
100299HO,47.0
100301HO,274.0
100309CP,249.0
100317HO,159.0
100320HO,307.0
100321HO,48.0
100322HO,228.0
100328HO,205.4
100332HO,42.0
100337CP,179.8
100338HO,193.666666667
100339CP,241.0
100340HO,446.333333333
100347HO,278.166666667
100351CP,273.0
100351HO,369.0
100352CP,356.5
100352HO,291.25
100370HO,341.0
100373HO,308.666666667
100377HO,255.833333333
100387HO,292.4
100388HO,105.0
100389HO,249.4
100394HO,178.5
100402HO,60.0
100406HO,266.0
100412HO,348.25
100413HO,180.333333333
100417HO,220.166666667
100419HO,190.0
100423HO,253.6
100424HO,245.0
100425HO,325.333333333
100429HO,167.0
100430HO,259.0
100431HO,35.0
100433HO,178.0
100434HO,174.5
100435HO,300.2
100436HO,273.0
100437HO,314.5
100438HO,279.0
100439HO,154.0
100440HO,277.6
100441HO,278.666666667
100443HO,159.0
100448HO,264.4
100450HO,294.333333333
100451HO,214.571428571
100452HO,195.0
100458HO,303.25
100459HO,208.0
100460HO,269.25
100461HO,269.4
100463HO,421.0
100464HO,376.0
100476HO,259.6
100480HO,223.0
100481HO,412.5
100485HO,123.0
100487HO,178.0
100489HO,8.0
100497HO,298.4
100498HO,284.4
100504HO,172.0
100505HO,293.25
100509HO,228.5
100510HO,220.5
100520HO,294.0
100526HO,86.0
100527HO,338.0
100529HO,251.25
100530HO,248.75
100534HO,170.666666667
100539HO,165.0
100540HO,299.333333333
100542HO,131.0
100544HO,216.666666667
100551HO,229.0
100552HO,86.0
100561HO,168.0
100563HO,308.6
100564HO,271.0
100576HO,353.0
100600HO,467.0
100602HO,178.0
100603HO,173.0
100618HO,40.5
100620HO,122.0
100621HO,268.4
100622HO,329.25
100625HO,245.333333333
100626HO,241.2
100629HO,188.5
100649HO,260.5
100661HO,277.4
100665HO,125.0
100669HO,229.333333333
100671HO,262.5
100674HO,193.666666667
100678HO,267.166666667
100681HO,236.8
100682HO,313.0
100685HO,239.2
100705HO,132.0
100707HO,412.0
100708HO,350.75
100721HO,166.0
100738HO,273.0
100743HO,160.5
100744HO,228.5
100745HO,237.0
100747HO,274.166666667
