,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad
131,090058HO,2009,F1H,H489,679,1,1,0,13.04347826
132,090059HO,2009,F1H,H590,632,0,0,0,14.28571429
133,090060HO,2009,F1H,H590,576,1,1,1,9.375
134,090061HO,2009,F1H,H489,354,0,0,0,66.66666667
135,090063HO,2009,F1H,H487,323,0,0,1,22.22222222
137,090065HO,2009,F1H,H489,419,0,0,1,27.27272727
138,090069HO,2009,F1H,H489,410,1,1,1,15.625
139,090070HO,2009,F1H,H489,703,1,1,0,9.090909091
140,090072HO,2009,F1H,H590,343,0,0,0,66.66666667
143,090078HO,2009,F1H,H489,310,0,0,0,42.85714286
144,090079HO,2009,F1H,H489,335,0,0,0,66.66666667
145,090080HO,2009,F1H,H489,794,1,1,1,14.28571429
147,090082HO,2009,F1H,H487,367,0,0,1,30.43478261
148,090086HO,2009,F1H,H489,315,0,0,0,21.42857143
149,090088HO,2009,F1H,H590,294,1,0,1,22.58064516
150,090089HO,2009,F1H,H489,315,0,0,0,14.28571429
151,090090HO,2009,F1H,H489,533,1,1,1,27.27272727
152,090091CA,2009,F1H,BR,470,0,0,1,30.76923077
153,090091HO,2009,F1H,H489,369,0,0,0,100.0
154,090092HO,2009,F1H,H489,491,0,1,1,16.0
155,090094HO,2009,F1H,H489,482,1,0,1,22.85714286
156,090097HO,2009,F1H,H487,301,0,0,1,33.33333333
157,090099HO,2009,EC,H590,536,1,1,1,23.07692308
158,090101HO,2009,F1H,H489,317,1,1,1,24.13793103
159,090103HO,2009,EC,H489,494,0,0,1,24.13793103
160,090106HO,2009,F1H,H590,511,1,1,1,20.51282051
161,090107HO,2009,F1H,H489,686,1,1,1,40.0
162,090108HO,2009,F1H,H487,546,1,0,1,14.70588235
163,090109HO,2009,F1H,H489,639,1,1,1,23.80952381
164,090110HO,2009,F1H,H489,306,0,1,1,22.58064516
165,090124HO,2009,F1H,H590,383,0,0,1,17.85714286
166,090127HO,2009,F1H,H590,369,1,1,1,25.71428571
167,090128HO,2009,F1H,H489,536,1,0,1,24.0
168,090131HO,2009,F1H,H489,364,0,0,1,20.58823529
169,090132HO,2009,F1H,H489,382,1,1,1,30.0
170,090137HO,2009,F1H,H590,373,1,0,1,20.0
171,090140HO,2009,F1H,H487,316,0,0,0,75.0
172,090144HO,2009,F1H,H489,454,0,0,0,50.0
173,090145HO,2009,F1H,H489,355,1,0,0,28.57142857
174,090147HO,2009,F1H,H489,327,0,0,0,20.0
175,090148HO,2009,F1H,H489,659,1,0,0,15.38461538
176,090150HO,2009,F1H,H489,351,1,1,1,23.52941176
177,090151HO,2009,F1H,H489,0,0,0,0,0.0
178,090155HO,2009,F1H,H590,358,0,0,1,26.31578947
179,090156HO,2009,F1H,H590,349,1,1,1,24.24242424
180,090157HO,2009,EC,H487,566,1,1,1,7.142857143
181,090159HO,2009,F1H,H489,513,1,1,1,23.52941176
182,090161HO,2009,F1H,H489,531,1,0,1,19.44444444
183,090162HO,2009,F1H,H489,437,1,0,1,26.19047619
184,090163CP,2009,F1H,BR,647,1,0,1,20.83333333
185,090164HO,2009,F1H,H487,575,1,1,1,20.0
186,090167HO,2009,EC,H489,558,1,1,1,22.58064516
187,090170HO,2009,F1H,H489,552,1,0,1,17.24137931
188,090174HO,2009,F1H,H590,367,0,0,1,37.5
189,090175HO,2009,F1H,H487,535,1,1,1,34.61538462
190,090177HO,2009,F1H,H489,349,0,0,1,25.0
191,090178HO,2009,F1H,H489,0,0,0,0,100.0
192,090179HO,2009,F1H,H489,404,1,0,1,17.85714286
193,090181HO,2009,F1H,H487,539,0,0,0,33.33333333
194,090186HO,2009,F1H,HOL,388,0,0,0,20.0
195,090189HO,2009,F1H,H487,452,1,0,1,18.18181818
196,090193HO,2009,F1H,H489,738,0,0,0,25.0
197,090195HO,2009,F1H,H489,0,0,0,0,25.0
198,090198HO,2009,F1H,H489,433,1,0,1,20.0
199,090203HO,2009,F1H,H590,546,0,0,0,28.57142857
200,090205HO,2009,F1H,H489,640,1,0,0,31.25
201,090206HO,2009,F1H,H487,258,0,0,1,18.42105263
202,090217HO,2009,F1H,H489,752,1,1,1,7.407407407000001
203,090218HO,2009,F1H,H489,314,1,1,1,28.57142857
204,090219HO,2009,F1H,H487,320,1,0,1,35.71428571
206,090227HO,2009,F1H,H489,306,0,0,0,80.0
207,090228HO,2009,F1H,H489,338,1,0,1,24.0
208,090232HO,2009,F1H,H590,336,0,0,0,66.66666667
209,090233HO,2009,F1H,H487,336,0,0,0,100.0
210,090238HO,2009,EC,H489,0,1,0,0,0.0
211,090247HO,2009,F1H,H489,405,0,0,0,30.0
212,090250HO,2009,F1H,H489,372,0,0,0,50.0
213,090267HO,2009,F1H,H489,455,1,1,1,23.07692308
214,090269HO,2009,F1H,H590,519,1,0,1,22.22222222
215,090270HO,2009,F1H,H487,449,0,0,1,13.04347826
216,090273HO,2009,F1H,H489,332,1,1,1,22.22222222
217,090275HO,2009,EC,H487,337,1,1,1,17.85714286
218,090277HO,2009,F1H,H489,637,1,0,1,24.13793103
219,090294HO,2009,F1H,H489,451,0,0,0,57.14285714
220,090297HO,2009,F1H,H489,341,0,0,0,50.0
223,090303HO,2009,F1H,H489,490,1,0,1,9.090909091
224,090331HO,2009,F1H,H487,0,0,0,0,0.0
225,090332HO,2009,F1H,H487,588,0,0,0,40.0
226,090339HO,2009,F1H,H487,464,1,1,1,12.5
227,090343HO,2009,F1H,H489,0,0,0,0,66.66666667
228,090347HO,2009,F1H,H590,494,0,1,0,14.28571429
229,090351HO,2009,F1H,H487,378,1,0,1,25.0
230,090356HO,2009,F1H,HOL,515,1,1,1,17.5
231,090368HO,2009,F1H,H590,0,0,0,0,100.0
232,090369HO,2009,F1H,H489,416,0,0,0,20.0
233,090370HO,2009,F1H,H590,0,0,0,0,0.0
234,090374HO,2009,F1H,H487,317,0,0,0,33.33333333
235,090378HO,2009,F1H,H590,671,1,0,1,18.75
236,090384HO,2009,F1H,H489,483,1,1,1,17.85714286
237,090385HO,2009,F1H,H489,745,1,0,0,5.882352941000001
238,090386HO,2009,F1H,H487,350,0,0,1,28.125
240,090388HO,2009,F1H,H489,544,1,1,1,12.5
241,090389HO,2009,F1H,H590,256,1,0,1,19.51219512
242,090399HO,2009,F1H,H487,355,1,0,1,18.75
243,090400HO,2009,F1H,H497,337,0,0,1,22.85714286
244,090401HO,2009,F1H,H489,725,1,1,1,16.66666667
245,090402HO,2009,EC,H489,519,1,0,0,30.0
246,090404HO,2009,F1H,H487,586,1,0,0,16.66666667
247,090405HO,2009,F1H,H487,313,1,0,1,25.0
248,090406HO,2009,F1H,H487,413,1,1,1,22.58064516
249,090407HO,2009,F1H,H590,695,1,0,1,11.53846154
250,090416HO,2009,F1H,H590,0,0,0,0,33.33333333
251,090417HO,2009,F1H,H487,330,0,0,1,29.41176471
252,090418HO,2009,F1H,H487,567,0,0,1,57.14285714
253,090421HO,2009,F1H,H487,353,0,0,0,60.0
254,090422HO,2009,F1H,H489,420,0,0,0,33.33333333
255,090424HO,2009,F1H,H487,462,0,0,0,57.14285714
256,090425HO,2009,F1H,H489,0,0,0,0,33.33333333
257,090427HO,2009,F1H,H487,332,0,0,1,23.52941176
258,090428HO,2009,F1H,H489,523,0,1,0,20.0
259,090431HO,2009,F1H,H487,482,1,0,1,22.22222222
260,090440HO,2009,F1H,H590,0,0,0,0,100.0
261,090441HO,2009,F1H,H489,330,1,1,1,17.5
262,090442HO,2009,F1H,H590,0,1,1,0,0.0
263,090449HO,2009,F1H,H489,377,1,0,1,24.13793103
264,090450HO,2009,F1H,H590,329,0,0,0,25.0
265,090451HO,2009,F1H,H489,386,0,0,0,50.0
266,090452HO,2009,F1H,H489,411,1,1,1,19.35483871
267,090454HO,2009,F1H,H487,328,1,0,1,16.0
268,090455HO,2009,F1H,H487,341,0,1,1,23.52941176
269,090456HO,2009,F1H,H489,0,0,1,0,0.0
270,090457HO,2009,F1H,H590,365,1,1,1,18.18181818
271,090461HO,2009,EC,H590,288,0,0,0,100.0
272,090462HO,2009,F1H,H590,391,0,0,1,40.90909091
273,090466HO,2009,F1H,H489,386,0,0,0,20.0
274,090467HO,2009,F1H,H489,360,1,1,1,20.0
275,090471HO,2009,F1H,H489,419,0,0,1,28.57142857
276,090475HO,2009,F1H,H487,459,1,1,0,16.66666667
278,090479HO,2009,F1H,H590,536,1,0,1,16.66666667
279,090483HO,2009,F1H,H590,0,0,0,0,50.0
280,090484HO,2009,F1H,H487,381,1,1,1,19.51219512
282,090486HO,2009,F1H,H590,358,0,0,0,25.0
283,090495HO,2009,F1H,H590,347,0,0,0,25.0
284,090497HO,2009,F1H,H489,0,0,1,0,0.0
285,090498HO,2009,F1H,H489,594,1,1,1,18.51851852
286,090506HO,2009,F1H,H487,357,0,1,1,22.58064516
287,090507HO,2009,EC,H487,540,0,0,0,42.85714286
288,090509HO,2009,F1H,H487,285,1,0,1,27.27272727
289,090512HO,2009,F1H,H487,315,0,0,0,100.0
290,090513HO,2009,F1H,H489,385,1,0,1,26.47058824
291,090514HO,2009,F1H,H590,536,0,0,0,80.0
292,090517HO,2009,F1H,H487,324,0,0,0,50.0
293,090519HO,2009,F1H,H489,373,0,0,0,33.33333333
294,090523HO,2009,F1H,H487,363,0,0,1,28.57142857
295,090536HO,2009,F1H,H590,0,0,0,0,0.0
296,090537HO,2009,F1H,H489,320,0,0,1,46.66666667
297,090547HO,2009,F1H,H590,337,0,0,0,16.66666667
298,090551HO,2009,F1H,H590,732,1,0,1,6.451612902999999
299,090566HO,2009,F1H,H489,615,1,1,0,11.11111111
300,090569HO,2009,EC,H489,331,0,0,0,25.0
301,090581HO,2009,F1H,H487,331,1,0,0,15.0
302,090584HO,2009,F1H,H489,308,0,0,0,66.66666667
303,090586HO,2009,F1H,H487,329,1,0,1,17.64705882
304,090612HO,2009,F1H,H590,323,0,0,1,20.68965517
305,090614HO,2009,F1H,H487,657,1,0,1,22.22222222
306,090621HO,2009,F1H,H590,440,1,1,1,25.0
