ID,Efectividad
100017HO,21.42857143
100018HO,21.62162162
100019HO,11.76470588
100021HO,30
100022HO,50
100023HO,100
100024HO,27.02702703
100025HO,66.66666667
100026HO,75
100027HO,22.22222222
100028HO,20
100029HO,22.58064516
100030HO,21.05263158
100031HO,29.41176471
100032HO,28.57142857
100033HO,42.85714286
100034HO,25.71428571
100035HO,37.5
100036HO,20.83333333
100037HO,12.19512195
100038HO,25.92592593
100040HO,36
100042HO,28.57142857
100043HO,58.82352941
100044HO,27.27272727
100046JE,14.28571429
100047HO,26.66666667
100048CP,0
100048HO,10.52631579
100049HO,0
100051CP,15.78947368
100051HO,50
100052HO,50
100053JE,50
100054HO,30.76923077
100055CP,50
100055HO,20
100056HO,60
100060HO,21.62162162
100062HO,33.33333333
100063HO,20.58823529
100064HO,100
100065HO,25
100066HO,24.13793103
100067HO,11.42857143
100068HO,50
100069HO,66.66666667
100070HO,100
100071HO,14.28571429
100072HO,37.5
100073HO,30
100074HO,21.05263158
100075HO,13.88888889
100076HO,25
100077HO,25
100078HO,11.53846154
100079HO,50
100080HO,20
100081HO,20
100082HO,22.85714286
100083HO,29.41176471
100085HO,30.55555556
100086HO,13.63636364
100087HO,50
100088HO,66.66666667
100089HO,27.5862069
100090HO,100
100091HO,25
100092HO,19.51219512
100093HO,28.57142857
100094HO,14.70588235
100096HO,23.52941176
100097HO,17.24137931
100098HO,21.62162162
100099HO,19.04761905
100100HO,30
100101HO,40
100102HO,22.22222222
100103HO,20
100104HO,26.66666667
100104ME,25
100105HO,100
100106HO,26.47058824
100107HO,10.52631579
100108HO,33.33333333
100109HO,35.71428571
100110HO,23.52941176
100111HO,100
100113HO,60
100114JE,100
100115HO,100
100116JE,18.51851852
100117HO,28.57142857
100119CP,16.66666667
100119JE,20
100120HO,50
100121HO,33.33333333
100122HO,14.28571429
100123HO,33.33333333
100125HO,16.66666667
100126HO,66.66666667
100127JE,23.80952381
100129HO,20
100130HO,57.14285714
100131HO,25
100132HO,9.302325581
100134HO,33.33333333
100135CP,22.22222222
100135HO,28.57142857
100136HO,15.78947368
100137HO,30
100138HO,20
100139HO,30
100140HO,42.85714286
100142HO,28.57142857
100143HO,12.5
100143ME,12.5
100147HO,20
100148HO,14.28571429
100150HO,12.5
100151HO,100
100152HO,50
100154HO,12.5
100156HO,50
100157HO,23.33333333
100158HO,20
100160HO,35.71428571
100164HO,100
100167HO,21.05263158
100170HO,50
100175HO,50
100178HO,21.21212121
100179HO,20
100184HO,66.66666667
100185HO,100
100186HO,100
100191HO,25
100193HO,100
100195HO,16.66666667
100196HO,27.5862069
100197HO,18.75
100199HO,60
100200HO,18.75
100201HO,41.66666667
100202HO,22.58064516
100203HO,26.66666667
100204HO,25
100206HO,15.38461538
100207HO,50
100207ME,50
100208HO,17.24137931
100209HO,22.85714286
100213HO,100
100215CP,11.11111111
100215HO,50
100218HO,25
100225HO,25
100226HO,33.33333333
100232HO,23.33333333
100234HO,40
100235HO,40
100237HO,30
100238HO,33.33333333
100242CP,20
100245CP,17.85714286
100246CP,15.625
100247CP,18.75
100249CP,8.333333333
100254HO,66.66666667
100255HO,27.27272727
100256HO,26.47058824
100258HO,13.33333333
100264CP,19.35483871
100268HO,80
100278CP,13.33333333
100280HO,50
100291HO,25
100297HO,31.57894737
100299HO,50
100301HO,26.66666667
100309CP,29.41176471
100317HO,25
100320HO,28.125
100321HO,25
100322HO,14.28571429
100328HO,53.33333333
100332HO,50
100337CP,21.42857143
100338HO,20.58823529
100339CP,33.33333333
100340HO,10
100344HO,0
100347HO,25.71428571
100351CP,19.23076923
100351HO,12.5
100352CP,21.21212121
100352HO,19.23076923
100369HO,50
100370HO,23.80952381
100373HO,16.66666667
100377HO,21.875
100387HO,21.62162162
100388HO,40
100389HO,28.57142857
100393HO,0
100394HO,50
100402HO,33.33333333
100406HO,50
100412HO,18.91891892
100413HO,17.64705882
100417HO,25
100419HO,40
100423HO,20
100424HO,12.5
100425HO,18.51851852
100426HO,0
100429HO,33.33333333
100430HO,26.66666667
100431HO,66.66666667
100433HO,50
100434HO,66.66666667
100435HO,24.32432432
100436HO,16.66666667
100437HO,18.75
100438HO,66.66666667
100439HO,100
100440HO,29.62962963
100441HO,15
100442HO,100
100443HO,100
100448HO,25
100449HO,0
100450HO,18.18181818
100451HO,36
100452HO,22.22222222
100458HO,21.73913043
100459HO,25
100460HO,27.77777778
100461HO,25
100463HO,14.28571429
100464HO,11.11111111
100476HO,21.21212121
100480HO,16.66666667
100481H,100
100481HO,9.090909091
100485HO,42.85714286
100487HO,33.33333333
100489HO,33.33333333
100496HO,100
100497HO,20
100498HO,18.51851852
100504HO,36.36363636
100505HO,12.19512195
100509HO,18.18181818
100510HO,57.14285714
10051CP,40
100520HO,16.66666667
