ID,P,V,A,Efectividad
110316HO,5,32,0,13.5135135135
110319HO,4,11,0,26.6666666667
110329HO,5,29,0,14.7058823529
110335HO,6,33,0,15.3846153846
110337HO,7,29,1,18.9189189189
110338HO,4,7,0,36.3636363636
110339HO,5,11,0,31.25
110340HO,1,2,0,33.3333333333
110341JE,2,10,0,16.6666666667
110342HO,8,23,0,25.8064516129
110343HO,5,29,0,14.7058823529
110355HO,2,10,0,16.6666666667
110358HO,2,10,0,16.6666666667
110359HO,8,24,0,25.0
110360HO,7,21,0,25.0
110367HO,6,22,0,21.4285714286
110370HO,6,23,0,20.6896551724
110376HO,5,12,2,26.3157894737
110382HO,5,26,0,16.1290322581
110406HO,6,18,0,25.0
110410HO,4,22,0,15.3846153846
110412JE,5,20,0,20.0
110413HO,5,15,0,25.0
110417HO,6,21,0,22.2222222222
110424HO,7,25,0,21.875
110426HO,5,29,0,14.7058823529
110438HO,3,18,0,14.2857142857
110439AG,1,2,0,33.3333333333
110439HO,5,20,0,20.0
110442HO,3,8,1,25.0
110443HO,5,8,1,35.7142857143
110450HO,5,21,0,19.2307692308
110454HO,6,22,1,20.6896551724
110462HO,1,6,0,14.2857142857
110474,0,1,0,0.0
110474HO,5,28,1,14.7058823529
110484HO,3,9,0,25.0
110485HO,3,12,0,20.0
110487HO,6,23,0,20.6896551724
110491HO,1,4,0,20.0
110513HO,6,24,0,20.0
110515HO,1,7,0,12.5
110519HO,6,16,0,27.2727272727
110520HO,8,22,0,26.6666666667
110522HO,3,13,0,18.75
110531HO,1,16,0,5.88235294118
110532HO,5,25,0,16.6666666667
110533HO,7,19,0,26.9230769231
110534HO,2,5,0,28.5714285714
110539HO,5,15,0,25.0
110543HO,2,12,0,14.2857142857
110547JE,5,18,1,20.8333333333
110554HO,3,12,0,20.0
110555HO,6,21,0,22.2222222222
110562HO,4,17,0,19.0476190476
110563HO,3,9,0,25.0
110579HO,4,8,0,33.3333333333
110580HO,4,10,1,26.6666666667
110587HO,7,29,0,19.4444444444
110589HO,5,19,0,20.8333333333
110591HO,1,7,0,12.5
110609HO,3,12,0,20.0
110613HO,3,10,0,23.0769230769
110614HO,2,3,0,40.0
110615HO,2,12,0,14.2857142857
110617HO,6,26,0,18.75
110636HO,3,22,0,12.0
110639HO,3,18,1,13.6363636364
110640HO,1,0,1,50.0
110644HO,2,8,0,20.0
110654HO,6,28,1,17.1428571429
110657HO,1,5,0,16.6666666667
110658HO,3,22,0,12.0
110659HO,6,28,0,17.6470588235
110660HO,3,7,0,30.0
110662HO,5,26,0,16.1290322581
110664HO,4,12,1,23.5294117647
110668HO,9,13,1,39.1304347826
110669HO,4,16,0,20.0
110670HO,2,9,0,18.1818181818
110671HO,1,6,0,14.2857142857
110674HO,5,18,1,20.8333333333
110687HO,4,15,1,20.0
110688HO,2,18,0,10.0
110691HO,9,23,0,28.125
110693HO,3,8,0,27.2727272727
110697HO,4,28,0,12.5
110698HO,7,25,0,21.875
110705HO,7,28,0,20.0
110707AG,1,0,0,100.0
110707HO,5,19,0,20.8333333333
110708HO,7,18,0,28.0
110712HO,5,25,0,16.6666666667
110728HO,10,24,0,29.4117647059
110735HO,3,11,1,20.0
110737HO,6,16,0,27.2727272727
110742HO,7,21,0,25.0
110745HO,5,21,1,18.5185185185
110747HO,1,4,0,20.0
110754HO,3,20,0,13.0434782609
110769HO,4,32,0,11.1111111111
110770HO,2,14,0,12.5
110775HO,3,6,0,33.3333333333
110783HO,5,20,0,20.0
110786HO,6,25,0,19.3548387097
110794HO,5,27,1,15.1515151515
110797HO,7,25,0,21.875
110802HO,4,14,1,21.0526315789
110807HO,4,11,1,25.0
110810HO,6,26,0,18.75
110811HO,5,25,0,16.6666666667
110813HO,3,15,0,16.6666666667
110814HO,3,7,1,27.2727272727
110819HO,7,22,0,24.1379310345
110820HO,5,20,3,17.8571428571
110829HO,4,11,0,26.6666666667
110832HO,7,20,1,25.0
110835HO,2,4,0,33.3333333333
110837HO,6,24,0,20.0
110838HO,8,23,0,25.8064516129
110840HO,1,3,0,25.0
110841HO,7,21,0,25.0
110842HO,7,26,0,21.2121212121
110848HO,5,8,0,38.4615384615
110853HO,7,22,0,24.1379310345
110854HO,7,19,0,26.9230769231
110855HO,1,1,0,50.0
110856HO,3,6,1,30.0
110859HO,5,22,0,18.5185185185
110860HO,6,23,0,20.6896551724
110866HO,6,21,1,21.4285714286
110867HO,7,22,0,24.1379310345
110870HO,2,2,0,50.0
110873HO,6,28,0,17.6470588235
110874HO,5,18,0,21.7391304348
110877HO,5,26,0,16.1290322581
110879HO,6,21,0,22.2222222222
110883HO,5,25,0,16.6666666667
110887HO,6,23,0,20.6896551724
110894HO,2,13,0,13.3333333333
110895HO,1,6,0,14.2857142857
110896HO,8,32,0,20.0
110897HO,1,0,1,50.0
110901HO,8,27,0,22.8571428571
110903HO,6,22,0,21.4285714286
110904HO,3,13,0,18.75
110915HO,6,21,0,22.2222222222
110919HO,3,2,1,50.0
110923HO,1,13,0,7.14285714286
110924HO,2,6,0,25.0
110926HO,3,7,1,27.2727272727
110930HO,7,22,0,24.1379310345
110931HO,5,29,0,14.7058823529
110936HO,3,21,0,12.5
110939HO,1,1,0,50.0
110940HO,3,6,0,33.3333333333
110945HO,5,22,0,18.5185185185
110946HO,2,12,0,14.2857142857
110949HO,3,8,0,27.2727272727
110957HO,6,22,0,21.4285714286
110961HO,2,17,0,10.5263157895
110967HO,4,19,1,16.6666666667
110968HO,4,9,0,30.7692307692
110969HO,7,25,0,21.875
110970HO,4,17,0,19.0476190476
110971HO,4,29,0,12.1212121212
110972HO,7,24,0,22.5806451613
110975HO,7,21,0,25.0
110979HO,2,14,0,12.5
110982HO,2,13,0,13.3333333333
110986HO,5,27,0,15.625
110990HO,4,15,0,21.0526315789
111003HO,5,17,0,22.7272727273
111005HO,7,31,0,18.4210526316
111016HO,7,25,0,21.875
111019HO,6,20,0,23.0769230769
111024HO,7,22,0,24.1379310345
111029HO,3,8,0,27.2727272727
111031HO,7,24,0,22.5806451613
111049HO,5,16,0,23.8095238095
111050HO,6,14,1,28.5714285714
111053HO,5,11,0,31.25
111054HO,7,23,0,23.3333333333
111058HO,0,3,0,0.0
111068HO,4,24,0,14.2857142857
111070HO,6,19,0,24.0
111073HO,8,22,0,26.6666666667
111084HO,7,24,0,22.5806451613
111097HO,7,26,0,21.2121212121
111106HO,7,21,0,25.0
111109HO,6,21,0,22.2222222222
111120HO,1,2,0,33.3333333333
111124HO,4,10,0,28.5714285714
111126HO,6,21,0,22.2222222222
111131HO,6,23,0,20.6896551724
111142HO,7,27,0,20.5882352941
113389SD,4,24,0,14.2857142857
113406SD,2,7,0,22.2222222222
113422SD,5,21,0,19.2307692308
113481SD,0,15,0,0.0
113489SD,1,8,0,11.1111111111
113603SD,5,20,1,19.2307692308
113639SD,1,10,0,9.09090909091
113718SD,4,22,0,15.3846153846
113743SD,2,28,0,6.66666666667
113762SD,5,19,1,20.0
113771SD,4,12,0,25.0
113796SD,1,3,1,20.0
113800SD,3,15,0,16.6666666667
113823SD,5,27,0,15.625
113832SD,1,12,0,7.69230769231
113838SD,4,20,0,16.6666666667
113841SD,5,23,1,17.2413793103
113884SD,6,22,0,21.4285714286
113886SD,5,26,0,16.1290322581
113932SD,2,10,0,16.6666666667
113938SD,1,4,0,20.0
113942SD,4,18,0,18.1818181818
113953SD,1,11,0,8.33333333333
113967SD,5,24,0,17.2413793103
113969SD,3,27,0,10.0
113974SD,1,5,0,16.6666666667
113980SD,5,24,0,17.2413793103
113986SD,5,21,0,19.2307692308
113996SD,1,10,0,9.09090909091
114001SD,6,16,1,26.0869565217
114004SD,3,27,0,10.0
114005SD,1,11,0,8.33333333333
114010SD,5,19,0,20.8333333333
114017SD,0,6,0,0.0
114021SD,7,20,0,25.9259259259
114025SD,6,13,1,30.0
114029SD,5,19,0,20.8333333333
114031SD,4,30,1,11.4285714286
114034SD,2,11,0,15.3846153846
114036SD,4,21,0,16.0
114040SD,1,5,0,16.6666666667
114044SD,6,16,1,26.0869565217
114046SD,4,14,0,22.2222222222
114052SD,2,20,1,8.69565217391
114054SD,9,24,0,27.2727272727
114060SD,4,16,1,19.0476190476
114061SD,5,20,1,19.2307692308
114071SD,5,25,0,16.6666666667
114082SD,3,23,0,11.5384615385
114085SD,5,20,0,20.0
114088SD,4,17,0,19.0476190476
114089SD,5,16,1,22.7272727273
114090SD,3,24,0,11.1111111111
114092SD,1,13,0,7.14285714286
114093SD,4,19,0,17.3913043478
114109SD,4,27,0,12.9032258065
114113SD,3,25,0,10.7142857143
114115SD,2,19,0,9.52380952381
114121SD,3,23,0,11.5384615385
114127SD,5,22,0,18.5185185185
114133SD,1,12,0,7.69230769231
114138SD,2,13,0,13.3333333333
114139SD,2,6,0,25.0
114141SD,4,27,0,12.9032258065
114153SD,4,21,0,16.0
114155SD,5,24,0,17.2413793103
114161SD,5,11,2,27.7777777778
114171SD,4,22,0,15.3846153846
114172SD,5,26,1,15.625
114173SD,4,22,0,15.3846153846
114181SD,6,24,1,19.3548387097
114183SD,2,21,0,8.69565217391
114187SD,1,6,0,14.2857142857
114192SD,5,17,0,22.7272727273
114194SD,6,25,0,19.3548387097
114195SD,4,21,0,16.0
114200SD,5,16,0,23.8095238095
114220SD,6,19,0,24.0
114232SD,5,24,0,17.2413793103
114237SD,4,17,0,19.0476190476
114269SD,1,14,0,6.66666666667
114273SD,5,18,0,21.7391304348
114284SD,9,22,2,27.2727272727
114290SD,3,28,0,9.67741935484
114294SD,5,22,0,18.5185185185
114297SD,6,22,0,21.4285714286
114317SD,2,12,0,14.2857142857
114336SD,1,2,0,33.3333333333
120001CA,8,24,0,25.0
120001HO,1,0,0,100.0
120001SD,2,24,0,7.69230769231
120002SD,1,13,0,7.14285714286
120003HO,6,22,0,21.4285714286
120004CA,5,19,0,20.8333333333
120004HO,6,16,0,27.2727272727
120004SD,6,18,1,24.0
120005HO,4,18,0,18.1818181818
120006CA,0,11,0,0.0
120006HO,6,23,0,20.6896551724
120007CA,4,17,1,18.1818181818
120007SD,1,5,0,16.6666666667
120008CA,3,15,2,15.0
120008SD,5,29,0,14.7058823529
120009CA,5,23,0,17.8571428571
120009HO,4,11,0,26.6666666667
120009SD,7,19,0,26.9230769231
120010CA,6,20,0,23.0769230769
120011HO,2,2,0,50.0
120011SD,2,5,1,25.0
120013SD,4,24,0,14.2857142857
120014SD,5,17,0,22.7272727273
120015HO,4,21,0,16.0
120016HO,1,1,0,50.0
120018HO,6,20,0,23.0769230769
120020HO,3,6,0,33.3333333333
120021HO,3,5,0,37.5
120021SD,6,22,1,20.6896551724
120022SD,4,23,0,14.8148148148
120023HO,7,21,0,25.0
120023SD,4,26,1,12.9032258065
120024HO,5,20,0,20.0
120024SD,4,20,0,16.6666666667
120025SD,4,27,0,12.9032258065
120026HO,4,23,0,14.8148148148
