,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad,DIM
392,100034HO,2010,F1H,H0584,558,1,1,1,25.71428571,252.2
393,100035HO,2010,F1H,H0585,357,1,0,0,37.5,274.5
394,100036HO,2010,F1H,H0585,480,1,1,1,20.83333333,284.75
395,100037HO,2010,F1H,H0585,535,1,0,1,12.19512195,306.0
396,100038HO,2010,F1H,H0585,448,1,1,1,25.92592593,376.0
398,100040HO,2010,F1H,H0584,337,0,1,1,36.0,260.0
399,100042HO,2010,EC,H0585,416,1,1,0,28.57142857,176.0
400,100043HO,2010,F1H,H0585,760,0,1,1,58.82352941,248.0
401,100044HO,2010,F1H,H0584,339,1,0,0,27.27272727,288.0
402,100046JE,2010,F1J,JE0778,0,0,0,0,14.28571429,267.0
403,100047HO,2010,F1H,H0584,331,1,0,1,26.66666667,237.66666666700002
404,100048CP,2010,F1H,BR,0,1,0,0,0.0,230.0
405,100048HO,2010,F1H,H0585,764,1,1,1,10.52631579,363.66666666699996
408,100051CP,2010,F1H,BR,481,0,0,1,15.78947368,264.4
409,100051HO,2010,F1H,H0585,381,0,0,0,50.0,157.0
410,100052HO,2010,F1H,H0584,328,0,0,0,50.0,187.5
411,100053JE,2010,F1J,JE0778,336,0,0,1,50.0,194.5
412,100054HO,2010,F1H,H0585,472,1,1,1,30.76923077,164.0
413,100055CP,2010,F1H,BR,397,0,0,1,50.0,174.5
414,100055HO,2010,F1H,H0584,500,0,1,1,20.0,243.0
415,100056HO,2010,F1H,H0584,381,0,0,0,60.0,114.0
416,100060HO,2010,F1H,H0585,364,1,1,1,21.62162162,333.8
417,100062HO,2010,F1H,H0584,0,0,0,0,33.33333333,233.0
418,100063HO,2010,F1H,H0584,432,1,0,1,20.58823529,261.8
419,100064HO,2010,F1H,H0585,0,0,0,0,100.0,181.0
420,100065HO,2010,F1H,H0584,0,0,0,0,25.0,180.0
421,100066HO,2010,F1H,H0585,496,1,1,1,24.13793103,252.16666666700002
422,100067HO,2010,F1H,H0584,522,1,1,1,11.42857143,319.75
423,100068HO,2010,F1H,H0585,369,0,0,0,50.0,123.5
424,100069HO,2010,F1H,H0584,318,0,0,0,66.66666667,180.0
425,100070HO,2010,F1H,H0584,0,0,0,0,100.0,165.0
426,100071HO,2010,F1H,H0585,651,1,1,1,14.28571429,304.5
427,100072HO,2010,F1H,H0585,381,0,0,1,37.5,176.66666666700002
428,100073HO,2010,F1H,H0585,369,1,0,0,30.0,267.5
429,100074HO,2010,F1H,H0585,328,0,0,1,21.05263158,252.0
430,100075HO,2010,F1H,H0584,578,1,0,1,13.88888889,383.0
431,100076HO,2010,F1H,H0585,376,1,1,1,25.0,179.66666666700002
432,100077HO,2010,F1H,H0584,388,1,0,0,25.0,281.0
433,100078HO,2010,F1H,H0585,690,1,1,1,11.53846154,262.333333333
435,100080HO,2010,F1H,H0585,506,1,1,1,20.0,247.66666666700002
436,100081HO,2010,F1H,H0584,0,0,0,0,20.0,267.0
437,100082HO,2010,F1H,H0585,413,1,0,1,22.85714286,275.5
