,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO
169,090132HO,2009,F1H,H489,382
170,090137HO,2009,F1H,H590,373
171,090140HO,2009,F1H,H487,316
172,090144HO,2009,F1H,H489,454
173,090145HO,2009,F1H,H489,355
174,090147HO,2009,F1H,H489,327
175,090148HO,2009,F1H,H489,659
176,090150HO,2009,F1H,H489,351
177,090151HO,2009,F1H,H489,0
178,090155HO,2009,F1H,H590,358
179,090156HO,2009,F1H,H590,349
180,090157HO,2009,EC,H487,566
181,090159HO,2009,F1H,H489,513
182,090161HO,2009,F1H,H489,531
183,090162HO,2009,F1H,H489,437
184,090163CP,2009,F1H,BR,647
185,090164HO,2009,F1H,H487,575
186,090167HO,2009,EC,H489,558
187,090170HO,2009,F1H,H489,552
188,090174HO,2009,F1H,H590,367
189,090175HO,2009,F1H,H487,535
190,090177HO,2009,F1H,H489,349
191,090178HO,2009,F1H,H489,0
192,090179HO,2009,F1H,H489,404
193,090181HO,2009,F1H,H487,539
194,090186HO,2009,F1H,HOL,388
195,090189HO,2009,F1H,H487,452
196,090193HO,2009,F1H,H489,738
197,090195HO,2009,F1H,H489,0
198,090198HO,2009,F1H,H489,433
199,090203HO,2009,F1H,H590,546
200,090205HO,2009,F1H,H489,640
201,090206HO,2009,F1H,H487,258
202,090217HO,2009,F1H,H489,752
203,090218HO,2009,F1H,H489,314
204,090219HO,2009,F1H,H487,320
205,090226HO,2009,F1H,H489,0
206,090227HO,2009,F1H,H489,306
207,090228HO,2009,F1H,H489,338
208,090232HO,2009,F1H,H590,336
209,090233HO,2009,F1H,H487,336
210,090238HO,2009,EC,H489,0
211,090247HO,2009,F1H,H489,405
212,090250HO,2009,F1H,H489,372
213,090267HO,2009,F1H,H489,455
214,090269HO,2009,F1H,H590,519
215,090270HO,2009,F1H,H487,449
216,090273HO,2009,F1H,H489,332
217,090275HO,2009,EC,H487,337
218,090277HO,2009,F1H,H489,637
219,090294HO,2009,F1H,H489,451
220,090297HO,2009,F1H,H489,341
221,090301HO,2009,F1H,H489,0
222,090302HO,2009,F1H,H489,0
223,090303HO,2009,F1H,H489,490
224,090331HO,2009,F1H,H487,0
225,090332HO,2009,F1H,H487,588
226,090339HO,2009,F1H,H487,464
227,090343HO,2009,F1H,H489,0
228,090347HO,2009,F1H,H590,494
229,090351HO,2009,F1H,H487,378
230,090356HO,2009,F1H,HOL,515
231,090368HO,2009,F1H,H590,0
232,090369HO,2009,F1H,H489,416
233,090370HO,2009,F1H,H590,0
234,090374HO,2009,F1H,H487,317
235,090378HO,2009,F1H,H590,671
236,090384HO,2009,F1H,H489,483
237,090385HO,2009,F1H,H489,745
238,090386HO,2009,F1H,H487,350
239,090387HO,2009,F1H,H487,0
240,090388HO,2009,F1H,H489,544
241,090389HO,2009,F1H,H590,256
242,090399HO,2009,F1H,H487,355
243,090400HO,2009,F1H,H497,337
244,090401HO,2009,F1H,H489,725
245,090402HO,2009,EC,H489,519
246,090404HO,2009,F1H,H487,586
247,090405HO,2009,F1H,H487,313
248,090406HO,2009,F1H,H487,413
249,090407HO,2009,F1H,H590,695
250,090416HO,2009,F1H,H590,0
251,090417HO,2009,F1H,H487,330
252,090418HO,2009,F1H,H487,567
253,090421HO,2009,F1H,H487,353
254,090422HO,2009,F1H,H489,420
255,090424HO,2009,F1H,H487,462
256,090425HO,2009,F1H,H489,0
257,090427HO,2009,F1H,H487,332
258,090428HO,2009,F1H,H489,523
259,090431HO,2009,F1H,H487,482
260,090440HO,2009,F1H,H590,0
261,090441HO,2009,F1H,H489,330
262,090442HO,2009,F1H,H590,0
263,090449HO,2009,F1H,H489,377
264,090450HO,2009,F1H,H590,329
265,090451HO,2009,F1H,H489,386
266,090452HO,2009,F1H,H489,411
267,090454HO,2009,F1H,H487,328
268,090455HO,2009,F1H,H487,341
269,090456HO,2009,F1H,H489,0
270,090457HO,2009,F1H,H590,365
271,090461HO,2009,EC,H590,288
272,090462HO,2009,F1H,H590,391
273,090466HO,2009,F1H,H489,386
274,090467HO,2009,F1H,H489,360
275,090471HO,2009,F1H,H489,419
276,090475HO,2009,F1H,H487,459
277,090476HO,2009,F1H,H590,0
278,090479HO,2009,F1H,H590,536
279,090483HO,2009,F1H,H590,0
280,090484HO,2009,F1H,H487,381
281,090485HO,2009,F1H,H590,0
282,090486HO,2009,F1H,H590,358
283,090495HO,2009,F1H,H590,347
284,090497HO,2009,F1H,H489,0
285,090498HO,2009,F1H,H489,594
286,090506HO,2009,F1H,H487,357
287,090507HO,2009,EC,H487,540
288,090509HO,2009,F1H,H487,285
289,090512HO,2009,F1H,H487,315
290,090513HO,2009,F1H,H489,385
291,090514HO,2009,F1H,H590,536
292,090517HO,2009,F1H,H487,324
293,090519HO,2009,F1H,H489,373
294,090523HO,2009,F1H,H487,363
295,090536HO,2009,F1H,H590,0
296,090537HO,2009,F1H,H489,320
297,090547HO,2009,F1H,H590,337
298,090551HO,2009,F1H,H590,732
299,090566HO,2009,F1H,H489,615
300,090569HO,2009,EC,H489,331
301,090581HO,2009,F1H,H487,331
302,090584HO,2009,F1H,H489,308
303,090586HO,2009,F1H,H487,329
304,090612HO,2009,F1H,H590,323
305,090614HO,2009,F1H,H487,657
306,090621HO,2009,F1H,H590,440
307,090627HO,2009,F1H,H489,0
308,090631HO,2009,F1H,H489,0
309,090640HO,2009,F1H,H590,0
310,090641HO,2009,F1H,H487,477
311,090644HO,2009,F1H,H487,0
312,090645HO,2009,F1H,H489,359
313,090648HO,2009,F1H,H489,455
314,090652HO,2009,F1H,H487,477
315,090678HO,2009,F1H,H489,503
316,090680HO,2009,F1H,H590,367
317,090683HO,2009,F1H,H487,342
318,090684HO,2009,F1H,H590,458
319,090685HO,2009,F1H,H487,569
320,090687HO,2009,F1H,H590,406
321,090689HO,2009,F1H,H489,371
322,090714HO,2009,F1H,H487,0
323,090716HO,2009,EC,H590,372
324,090721HO,2009,F1H,H590,582
325,090737HO,2009,F1H,H489,330
326,090740HO,2009,F1H,H487,325
327,090741HO,2009,F1H,H487,315
328,090742HO,2009,F1H,H489,0
329,090743JE,2009,F1H,H487,189
330,090744HO,2009,F1H,H489,583
331,090746HO,2009,F1H,H489,549
332,090759HO,2009,F1H,H590,318
333,090766HO,2009,F1H,H487,389
334,090768HO,2009,F1H,H590,500
335,090770HO,2009,F1H,H489,0
336,090779HO,2009,F1H,H489,606
337,090780HO,2009,F1H,H489,403
338,090782HO,2009,F1H,H487,0
339,090783HO,2009,F1H,H590,345
340,090796HO,2009,EC,H590,357
341,090797HO,2009,F1H,H487,365
342,090798HO,2009,F1H,H590,493
343,090812HO,2009,F1H,H489,452
344,090814HO,2009,F1H,H487,311
345,090816CP,2009,F1H,BR,590
346,090825HO,2009,EC,H590,463
347,090853HO,2009,F1H,H489,0
348,090884HO,2009,F1H,H489,575
349,090895HO,2009,F1H,H489,498
350,09092CA,2009,F1H,BR,348
351,09096CA,2009,F1H,BR,353
352,09097CA,2009,F1H,BR,320
353,099008CP,2009,F1H,BR,353
354,099057CP,2009,F1H,BR,310
355,099235CP,2009,F1H,BR,324
356,099687CP,2009,F1H,BR,401
357,100000HO,2010,F1H,BR,0
358,100001CP,2010,F1H,BR,0
359,100001HO,2010,F1H,H0585,339
360,100002HO,2010,EC,H0585,509
361,100003HO,2010,F1H,H0584,615
362,100004HO,2010,F1H,H0584,0
363,100005HO,2010,F1H,H0584,0
364,100006HO,2010,F1H,HOL,357
365,100007HO,2010,F1H,H0584,0
366,100008HO,2010,F1H,H0584,407
367,100009HO,2010,F1H,H0585,417
368,100010HO,2010,F1H,H0584,388
369,100011HO,2010,F1H,H0584,665
370,100012HO,2010,F1H,H0585,0
371,100013CP,2010,F1H,BR,540
372,100013HO,2010,F1H,H0585,380
373,100014HO,2010,F1H,H0584,448
374,100015HO,2010,F1H,H0585,445
375,100016HO,2010,F1H,H0584,317
376,100017HO,2010,F1H,H0584,367
377,100018HO,2010,F1H,H0585,439
378,100019HO,2010,F1H,H0585,728
379,100021HO,2010,F1H,H0585,461
380,100022HO,2010,F1H,H0585,365
381,100023HO,2010,F1H,H0584,0
382,100024HO,2010,F1H,H0585,317
383,100025HO,2010,F1H,H0585,389
384,100026HO,2010,F1H,H0585,374
385,100027HO,2010,F1H,H0584,356
386,100028HO,2010,F1H,H0584,592
387,100029HO,2010,F1H,H0585,339
388,100030HO,2010,F1H,H0584,511
389,100031HO,2010,F1H,H0585,321
390,100032HO,2010,F1H,H0585,333
391,100033HO,2010,F1H,H0585,367
392,100034HO,2010,F1H,H0584,558
393,100035HO,2010,F1H,H0585,357
394,100036HO,2010,F1H,H0585,480
395,100037HO,2010,F1H,H0585,535
396,100038HO,2010,F1H,H0585,448
397,100039HO,2010,F1H,H0584,0
398,100040HO,2010,F1H,H0584,337
399,100042HO,2010,EC,H0585,416
400,100043HO,2010,F1H,H0585,760
401,100044HO,2010,F1H,H0584,339
402,100046JE,2010,F1J,JE0778,0
403,100047HO,2010,F1H,H0584,331
404,100048CP,2010,F1H,BR,0
405,100048HO,2010,F1H,H0585,764
406,100049HO,2010,F1H,H0584,0
407,100050HO,2010,F1H,H0585,0
408,100051CP,2010,F1H,BR,481
409,100051HO,2010,F1H,H0585,381
410,100052HO,2010,F1H,H0584,328
