Estructura de red; MSE; Iteraciones; SQRT MSE
[2]; 363.89665577327656; 1; 19.07607548143162
[4]; 344.8834097811083; 1; 18.57103685261295
[6]; 290.1402296223208; 1; 17.033503151798246
[8]; 256.13317262291025; 1; 16.00416110337903
[10]; 259.4729762524716; 1; 16.10816489400551
[4, 4]; 257.514914758369; 1; 16.047271255835646
[4, 6]; 284.2683748171502; 1; 16.860260223885934
[4, 8]; 243.80960383017344; 1; 15.61440372957525
[4, 10]; 257.34422659924064; 1; 16.041952081939424
[6, 4]; 253.52656214296005; 1; 15.922517456198943
[6, 6]; 251.35663906280976; 1; 15.854230951478213
[6, 8]; 231.19575394826256; 1; 15.20512262194102
[6, 10]; 251.74032329121403; 1; 15.866326710717072
[8, 4]; 250.10187014590707; 1; 15.814609389608934
[8, 6]; 239.74197489003993; 1; 15.483603420717024
[8, 8]; 230.67599865796635; 1; 15.188021551800825
[8, 10]; 242.4210455673921; 1; 15.5698762219676
[10, 4]; 263.17179346040217; 1; 16.222570494850753
[10, 6]; 244.20108666089524; 1; 15.62693465337637
[10, 8]; 268.12631192242156; 1; 16.374562953630903
[10, 10]; 241.422809384661; 1; 15.53778650209421
[6, 6, 6]; 230.47943773579658; 1; 15.181549253478599
[6, 6, 8]; 219.13863004221443; 1; 14.803331721008432
[6, 6, 10]; 235.8534026393068; 1; 15.357519416862438
[6, 8, 6]; 234.60691128343922; 1; 15.316883210478535
[6, 8, 8]; 224.36375474355157; 1; 14.978776810659527
[6, 8, 10]; 236.2168696681347; 1; 15.369348381376964
[6, 10, 6]; 245.68169761285787; 1; 15.674236747378096
[6, 10, 8]; 246.3912587707372; 1; 15.69685505987544
[6, 10, 10]; 223.30353386186079; 1; 14.943344132484562
[8, 6, 6]; 237.96337078388692; 1; 15.426061415146995
[8, 6, 8]; 230.61721551130537; 1; 15.186086247328683
[8, 6, 10]; 241.73203529815598; 1; 15.547734088868255
[8, 8, 6]; 242.79668190512388; 1; 15.581934472494867
[8, 8, 8]; 219.78918427844079; 1; 14.825288674371262
[8, 8, 10]; 238.310745414672; 1; 15.437316652017993
[8, 10, 6]; 247.18672692504467; 1; 15.722173098049922
[8, 10, 8]; 234.96787961541588; 1; 15.32866202952547
[8, 10, 10]; 248.88222098693603; 1; 15.776001425802928
[10, 6, 6]; 233.27163336388318; 1; 15.273232577417367
